     c cost:                                                                           opt  /lb      rc2comp     opt  /lb     maxres     
     atcoss_mesat_11.wcnf.gz                                                           50   /50    79.5193     50   /50    79.3477   
     atcoss_mesat_04.wcnf.gz                                                           -1   /12    3600        -1   /12    3600      
     ms_200_10_40-0.wcnf.gz                                                            88   /88    722.8278    88   /88    703.0428  
     ms_260_20_20-0.wcnf.gz                                                            76   /76    622.2853    76   /76    647.1722  
     ms_250_10_40-0.wcnf.gz                                                            110  /110   195.5314    110  /110   212.0822  
     ms_200_20_20-6.wcnf.gz                                                            67   /67    852.9071    67   /67    726.3255  
     ms_260_20_20-1.wcnf.gz                                                            66   /66    566.7476    66   /66    582.3378  
     ms_250_20_10-0.wcnf.gz                                                            64   /64    97.1793     64   /64    150.2304  
     ms_200_16_20-0.wcnf.gz                                                            84   /84    692.8908    84   /84    673.3857  
     ms_160_20_20-0.wcnf.gz                                                            79   /79    861.4258    79   /79    831.5874  
     ms_200_26_20-0.wcnf.gz                                                            71   /71    105.8557    71   /71    108.5622  
     ms_320_20_20-0.wcnf.gz                                                            77   /77    106.7146    77   /77    85.4314   
     ms_200_12_20-3.wcnf.gz                                                            -1   /95    3600        -1   /97    3600      
     ms_200_22_20-2.wcnf.gz                                                            -1   /101   3600        -1   /101   3600      
     AMAZON.wcnf.gz                                                                    -1   /3524  3600        -1   /3499  3600      
     DBLP.wcnf.gz                                                                      -1   /2813  3600        -1   /2772  3600      
     POLITICSBOOK.wcnf.gz                                                              17   /17    0.0049      17   /17    0.0052    
     KARATE.wcnf.gz                                                                    4    /4     0.0006      4    /4     0.0005    
     RISKMAP.wcnf.gz                                                                   9    /9     0.0012      9    /9     0.0013    
     FOOTBALL.wcnf.gz                                                                  13   /13    0.0078      13   /13    0.009     
     RAILWAY.wcnf.gz                                                                   44   /44    0.0226      44   /44    0.0199    
     YOUTUBE.wcnf.gz                                                                   -1   /2819  3600        -1   /2933  3600      
     GreeceWesternGreeceUniversityInstance4.xml.wcnf.gz                                -1   /-1    3600        -1   /-1    3600      
     scpclr13_maxsat.wcnf.gz                                                           -1   /7     3600        -1   /5     3600      
     scpclr10_maxsat.wcnf.gz                                                           -1   /16    3600        -1   /12    3600      
     scpclr11_maxsat.wcnf.gz                                                           -1   /11    3600        -1   /7     3600      
     scpclr12_maxsat.wcnf.gz                                                           -1   /11    3600        -1   /6     3600      
     scpcyc11_maxsat.wcnf.gz                                                           -1   /2692  3600        -1   /2697  3600      
     scpcyc10_maxsat.wcnf.gz                                                           -1   /1286  3600        -1   /1284  3600      
     scpcyc08_maxsat.wcnf.gz                                                           -1   /261   3600        -1   /259   3600      
     scpcyc06_maxsat.wcnf.gz                                                           -1   /54    3600        -1   /52    3600      
     scpcyc09_maxsat.wcnf.gz                                                           -1   /560   3600        -1   /533   3600      
     scpcyc07_maxsat.wcnf.gz                                                           -1   /123   3600        -1   /112   3600      
     wolfram80_3.wcnf.gz                                                               11440/-1    42.7479     11440/-1    42.8439   
     geffe128_3.wcnf.gz                                                                800  /-1    272.8407    800  /-1    272.1486  
     threshold128_1.wcnf.gz                                                            800  /-1    370.7623    800  /-1    379.0463  
     wolfram72_9.wcnf.gz                                                               9288 /-1    21.3334     9288 /-1    21.6332   
     wolfram72_3.wcnf.gz                                                               9288 /-1    8.318       9288 /-1    8.4567    
     geffe128_2.wcnf.gz                                                                800  /-1    65.6538     800  /-1    67.0311   
     wolfram80_7.wcnf.gz                                                               11440/-1    9.9412      11440/-1    9.8864    
     threshold128_7.wcnf.gz                                                            800  /-1    592.5824    800  /-1    599.2694  
     wolfram72_8.wcnf.gz                                                               9288 /-1    7.7245      9288 /-1    7.7451    
     geffe128_0.wcnf.gz                                                                800  /-1    516.9479    800  /-1    506.4374  
     wolfram80_5.wcnf.gz                                                               11440/-1    56.808      11440/-1    56.3109   
     wolfram72_6.wcnf.gz                                                               9288 /-1    26.35       9288 /-1    25.9522   
     drmx-am20-outof-50-eseqc.wcnf.gz                                                  30   /30    2.1066      30   /30    21.3987   
     drmx-am20-outof-50-ekmtot.wcnf.gz                                                 30   /30    8.8193      30   /30    76.6382   
     drmx-am16-outof-45-ecardn.wcnf.gz                                                 29   /29    2.7375      29   /29    17.387    
     drmx-am28-outof-60-emtot.wcnf.gz                                                  32   /32    10.8145     32   /32    9.8982    
     drmx-am16-outof-45-emtot.wcnf.gz                                                  29   /29    2.1172      29   /29    27.8999   
     drmx-am32-outof-70-ecardn.wcnf.gz                                                 38   /38    5.5895      38   /38    251.8543  
     drmx-am32-outof-70-etot.wcnf.gz                                                   38   /38    121.8041    38   /38    102.9826  
     drmx-am28-outof-60-etot.wcnf.gz                                                   32   /32    10.7887     32   /32    19.4132   
     drmx-am20-outof-50-ecardn.wcnf.gz                                                 30   /30    98.4063     30   /30    131.4042  
     drmx-am28-outof-60-ekmtot.wcnf.gz                                                 32   /32    13.9771     32   /32    7.9839    
     drmx-am12-outof-40-ecardn.wcnf.gz                                                 28   /28    3.8048      28   /28    1.643     
     drmx-am32-outof-70-esortn.wcnf.gz                                                 38   /38    5.0074      38   /38    159.1717  
     c-fat200-2.clq.wcnf.gz                                                            176  /-1    0.0036      176  /-1    0.0036    
     p_hat1000-2.clq.wcnf.gz                                                           -1   /924   3600        -1   /920   3600      
     hamming6-4.clq.wcnf.gz                                                            60   /60    0.0044      60   /60    0.0053    
     johnson32-2-4.clq.wcnf.gz                                                         -1   /473   3600        -1   /472   3600      
     johnson16-2-4.clq.wcnf.gz                                                         112  /112   8.3808      112  /112   8.6474    
     johnson8-4-4.clq.wcnf.gz                                                          56   /56    0.0052      56   /56    0.0042    
     c-fat200-1.clq.wcnf.gz                                                            188  /188   0.0041      188  /188   0.0039    
     hamming10-4.clq.wcnf.gz                                                           -1   /942   3600        -1   /933   3600      
     p_hat700-2.clq.wcnf.gz                                                            -1   /648   3600        -1   /631   3600      
     c-fat500-5.clq.wcnf.gz                                                            436  /-1    0.0188      436  /-1    0.0182    
     d4.wcnf.gz                                                                        -1   /17    3600        -1   /285   3600      
     dp43.wcnf.gz                                                                      47   /47    11.5679     47   /47    10.2645   
     pesp_18Min.wcnf.gz                                                                -1   /265   3600        -1   /248   3600      
     p15.wcnf.gz                                                                       5    /5     16.2617     5    /5     15.3977   
     pesp_5min.wcnf.gz                                                                 -1   /61    3600        -1   /62    3600      
     we.wcnf.gz                                                                        -1   /-1    3600        -1   /-1    3600      
     MinFill_R0_mulsol.i.1.wcnf.gz                                                     -1   /141   3600        -1   /125   3600      
     MinFill_R0_queen8_8.wcnf.gz                                                       -1   /608   3600        -1   /584   3600      
     MinFill_R12_miles250.wcnf.gz                                                      41   /41    2.793       41   /41    3.2064    
     MinFill_R0_queen5_5.wcnf.gz                                                       -1   /91    3600        -1   /87    3600      
     MinFill_R1_games120.wcnf.gz                                                       -1   /686   3600        -1   /610   3600      
     MinFill_R0_myciel6.wcnf.gz                                                        -1   /674   3600        -1   /663   3600      
     MinFill_R3_miles750.wcnf.gz                                                       -1   /403   3600        -1   /387   3600      
     MinFill_R0_miles1500.wcnf.gz                                                      218  /218   182.5256    218  /218   158.0478  
     MinFill_R5_jean.wcnf.gz                                                           11   /11    0.069       11   /11    0.074     
     MinFill_R3_huck.wcnf.gz                                                           2    /2     0.0032      2    /2     0.0024    
     MinFill_R0_queen9_9.wcnf.gz                                                       -1   /999   3600        -1   /970   3600      
     MinFill_R10_anna.wcnf.gz                                                          37   /37    2.1023      37   /37    1.7789    
     splitedReads_158.matrix.wcnf.gz                                                   173  /173   8.6636      173  /173   7.8208    
     splitedReads_160.matrix.wcnf.gz                                                   186  /186   9.458       186  /186   9.8074    
     splitedReads_137.matrix.wcnf.gz                                                   90   /90    2.597       90   /90    2.8142    
     splitedReads_18.matrix.wcnf.gz                                                    138  /138   5.1572      138  /138   4.8542    
     splitedReads_414.matrix.wcnf.gz                                                   171  /171   6.338       171  /171   6.4244    
+++  splitedReads_0.matrix.wcnf.gz                                                     1500 /1500  133.5248    -1   /1495  3600      
     Q43_YESNO_1.wcnf.gz                                                               0    /-1    6.8904      0    /-1    6.6965    
     Q6_YESNO_3.wcnf.gz                                                                0    /-1    0.9691      0    /-1    0.9166    
     Q34_OPTIONS_1.wcnf.gz                                                             -1   /1     3600        -1   /1     3600      
     Q46_YESNO_4.wcnf.gz                                                               0    /-1    1.2139      0    /-1    1.2041    
     Q38_YESNO_1.wcnf.gz                                                               0    /-1    35.6409     0    /-1    35.5282   
     Q29_OPTIONS_1.wcnf.gz                                                             0    /-1    1.5721      0    /-1    1.6168    
     Q38_YESNO_4.wcnf.gz                                                               0    /-1    0.5202      0    /-1    0.5298    
     Q46_YESNO_3.wcnf.gz                                                               1    /1     0.5631      1    /1     3.1577    
     Q34_YESNO_3.wcnf.gz                                                               0    /-1    0.4639      0    /-1    0.4352    
     Q7_YESNO_3.wcnf.gz                                                                2    /2     16.1149     2    /2     15.6207   
     Q53_YESNO_3.wcnf.gz                                                               1    /1     0.3928      1    /1     0.3847    
     Q2_OPTIONS_1.wcnf.gz                                                              0    /-1    2.0753      0    /-1    2.0576    
     wdbc_train_0_CNF_2_1.wcnf.gz                                                      23   /23    133.1822    23   /23    165.1513  
     toms_test_1_DNF_1_1.wcnf.gz                                                       58   /58    2.0687      58   /58    2.8895    
